zip,N_est_2000,N_est_2001,N_est_2002,N_est_2003,N_est_2004,N_est_2005,N_est_2006,N_est_2007,N_est_2008,N_est_2009,N_est_2010,N_est_2011,N_est_2012,longitude,latitude
10001,7317,7188,7141,7084,7370,7312,7415,7549,7472,7305,7241,7227,7235,-73.996929949,40.750212933
10002,2277,2543,2269,2402,2551,2682,2686,2685,2691,2775,2872,2912,2954,-73.9856771089,40.7161515679
10003,3683,3602,3616,3704,3776,3867,3909,4049,4071,4099,4113,4159,4214,-73.9888495557,40.7319467959
10004,1294,1247,1253,1252,1283,1260,1311,1370,1376,1379,1398,1404,1442,-74.0128469124,40.7034721004
10004,1294,1247,1253,1252,1283,1260,1311,1370,1376,1379,1398,1404,1442,-74.0407765762,40.6987666784
10004,1294,1247,1253,1252,1283,1260,1311,1370,1376,1379,1398,1404,1442,-74.0190881481,40.6888074959
10004,1294,1247,1253,1252,1283,1260,1311,1370,1376,1379,1398,1404,1442,-74.0452629166,40.6898499917
10005,1287,1249,1244,1200,1226,1214,1259,1273,1291,1274,1266,1301,1273,-74.0086355779,40.7061259806
10006,1067,1026,934,862,869,870,874,863,845,828,843,834,850,-74.0133853549,40.7082229959
10007,1327,1233,1620,1603,1635,1311,1292,1284,1313,1277,1330,1368,1400,-74.007536731,40.7139965452
10009,860,869,921,953,982,1029,1016,1027,1066,1049,1090,1128,1176,-73.9791558101,40.7265332003
10010,3203,3178,3085,3045,3059,3060,3047,2948,3000,2938,2981,3022,3068,-73.982921207,40.739089195
10011,3653,3592,3682,3711,3729,3784,3823,3818,3887,3823,3852,3869,3841,-74.0003689242,40.741359913
10012,2864,2858,2807,2818,2881,2963,2975,2912,2918,2868,2916,2935,2951,-73.9979395953,40.7255435453
10013,6175,6648,4863,4870,5847,4948,5002,5027,5094,5029,5098,5229,5374,-74.0049362143,40.7202401692
10014,2166,2197,2245,2297,2247,2271,2302,2258,2276,2264,2264,2299,2506,-74.0065882024,40.7338558646
10016,6109,6071,6029,6018,6080,6116,6088,5933,5906,5800,5769,5772,5933,-73.9782326193,40.7449099352
10017,5584,5583,5310,5275,5384,5346,5433,5252,5271,5168,5133,5052,5034,-73.9731722857,40.7523774415
10018,6231,6230,6335,6255,6293,6344,6365,6679,6551,6457,6421,6449,6691,-73.9928232463,40.755244656
10019,5155,5163,5001,4935,5068,5058,5173,5033,5035,4932,4867,4854,4833,-73.9864522794,40.7653979678
10020,760,756,736,747,791,750,764,706,701,735,725,733,744,-73.9792557991,40.7588720757
10021,5455,5436,5512,5530,5632,5670,5527,4325,4175,4029,3879,3622,3269,-73.9588065364,40.7698661565
10022,6997,6907,6588,6574,6648,6668,6804,6782,6755,6620,6595,6529,6421,-73.9681693539,40.7585245672
10023,2265,2236,2228,2259,2296,2291,2256,2240,2251,2228,2240,2265,2280,-73.9829730421,40.776147237
10024,1894,1895,1947,2001,2024,2009,2007,1992,1969,1976,2012,1961,1966,-73.9744194224,40.7926996331
10025,1776,1739,1851,1896,1898,1907,1959,1944,1934,1996,2043,2040,2052,-73.967198652,40.7980407326
10026,187,207,241,258,272,293,293,330,346,364,396,421,455,-73.9533645548,40.8030579407
10027,702,707,798,835,847,877,877,911,923,939,954,966,965,-73.9528015145,40.8115527299
10028,1881,1861,1959,1963,1995,2021,2002,2005,1983,1960,1955,1959,1908,-73.9529614327,40.776540222
10029,683,685,744,780,799,813,819,850,895,908,1016,1009,1035,-73.9441492558,40.7915674994
10030,193,211,217,213,218,226,231,220,221,231,237,252,269,-73.9427873867,40.8183962478
10031,487,507,559,570,594,608,628,616,639,662,668,670,687,-73.9500480809,40.8249087154
10032,630,628,704,713,716,718,718,709,691,727,740,764,803,-73.9417777865,40.8389550771
10033,888,864,913,933,952,939,944,966,946,963,1000,1002,1012,-73.9362510681,40.8510944744
10034,473,491,540,546,543,536,544,537,545,560,575,588,600,-73.9217161372,40.8688898953
10035,398,405,450,477,480,491,496,513,528,536,572,608,615,-73.9363224988,40.8017076721
10035,398,405,450,477,480,491,496,513,528,536,572,608,615,-73.9245953631,40.7910068933
10036,6236,6228,6284,6278,6241,6282,6269,6167,6098,6003,5974,6043,6118,-73.9898404307,40.7593506955
10037,137,137,161,166,163,157,168,181,187,196,206,214,209,-73.93717604,40.8134397239
10038,2147,2123,2162,2209,2149,2095,2097,1983,1987,2062,1995,1991,1935,-74.003025339,40.7096816703
10039,97,94,115,131,140,144,153,155,156,161,183,189,195,-73.9376744916,40.8266656399
10040,487,474,510,518,537,535,513,528,510,514,521,538,566,-73.9291187605,40.8581182458
10041,21,16,35,39,44,40,45,41,41,41,34,42,53,-74.0091631364,40.7031761856
10043,106,102,77,86,434,37,40,29,29,24,17,18,18,-74.0069943986,40.7042494012
10044,63,66,62,60,62,67,71,79,87,94,93,105,100,-73.9499674006,40.7618810743
10045,2,2,2,1,1,2,2,3,2,2,2,3,4,-74.0086764646,40.7083879201
10055,21,19,28,37,44,45,40,44,42,31,27,30,20,-73.9736651832,40.759121616
10069,11,16,33,37,33,43,49,56,67,73,82,84,89,-73.9895433552,40.776592966
10080,843,901,1008,1111,28,34,30,29,36,208,25,19,17,-74.0121139072,40.7106452833
10081,9,8,8,16,19,20,14,12,13,8,6,6,6,-74.0089768475,40.7078525537
10103,141,143,131,128,143,120,108,104,111,103,100,88,88,-73.9767050986,40.7603693364
10104,36,40,39,40,44,40,35,36,37,46,45,52,56,-73.978877564,40.7604700775
10105,45,47,52,54,62,58,57,48,51,50,51,48,48,-73.979042695,40.7629959037
10106,154,154,103,96,97,106,100,118,120,115,115,115,125,-73.9808729853,40.7653772258
10107,269,268,222,215,207,213,200,222,228,221,209,216,255,-73.982532252,40.7662758312
10110,229,229,200,190,198,197,195,177,175,168,172,158,149,-73.9811979241,40.7539299292
10111,215,207,189,181,185,181,177,165,165,172,166,163,155,-73.9775960016,40.7591137739
10112,109,121,109,108,105,112,120,130,127,127,122,121,108,-73.9796680989,40.7591674552
10115,67,66,62,60,57,58,56,66,69,66,63,65,68,-73.9637403166,40.8108540959
10118,741,642,619,616,616,618,624,596,580,539,507,467,425,-73.9857247136,40.7484532901
10119,262,280,254,259,267,272,296,301,305,311,314,303,295,-73.9923494165,40.7512685794
10120,55,61,45,41,58,67,64,68,69,57,53,61,72,-73.9889990629,40.7498045017
10121,118,104,101,98,90,87,82,86,80,80,72,75,80,-73.9921243133,40.7499549533
10122,292,270,217,218,215,201,202,170,159,158,150,143,136,-73.9917033807,40.7518706274
10123,262,284,238,236,236,254,239,241,232,227,214,214,196,-73.9907524165,40.7514664177
10128,1640,1609,1629,1671,1716,1719,1681,1723,1698,1687,1706,1699,1660,-73.9505998759,40.7817557085
10151,94,93,58,55,55,66,68,72,69,66,64,63,52,-73.973178165,40.7632392017
10152,130,120,112,114,112,105,116,88,78,74,81,77,66,-73.9721285778,40.7584507507
10153,113,111,89,92,98,94,97,101,91,95,117,120,120,-73.9724549792,40.7636329697
10154,56,54,46,49,46,54,58,52,47,53,49,56,82,-73.9724311601,40.7577661482
10155,137,134,113,114,112,122,132,141,151,143,142,145,141,-73.9679284951,40.7610188607
10158,50,56,50,51,53,57,61,49,52,55,48,55,47,-73.975098226,40.7489597321
10162,21,20,25,28,22,23,17,17,18,19,21,15,21,-73.9513154456,40.769628659
10165,558,548,506,500,492,492,485,462,440,431,401,393,372,-73.9788273365,40.7521379748
10166,139,134,136,134,138,142,151,130,134,129,116,113,105,-73.9766535971,40.7535176453
10167,88,87,93,90,100,97,105,118,137,129,130,133,129,-73.9747177286,40.7546255574
10168,186,167,158,160,165,160,162,184,193,198,198,179,199,-73.9766751163,40.7512121584
10169,251,238,251,254,256,252,254,228,217,212,207,192,174,-73.9761149404,40.7543842064
10170,337,334,296,303,309,292,299,309,300,308,310,305,295,-73.9758767486,40.752671096
10171,31,33,37,42,41,45,44,54,51,57,55,55,54,-73.9741787013,40.7560328729
