zip,N_est_2000,N_est_2001,N_est_2002,N_est_2003,N_est_2004,N_est_2005,N_est_2006,N_est_2007,N_est_2008,N_est_2009,N_est_2010,N_est_2011,N_est_2012,longitude,latitude
19102,1327,1261,1261,1243,1251,1209,1228,1222,1222,1217,1207,1221,1231,-75.1652119036,39.9528049917
19103,2588,2584,2576,2564,2629,2619,2575,2566,2673,2683,2627,2625,2636,-75.1740534324,39.9536912181
19104,707,716,770,772,794,815,836,853,832,847,878,905,933,-75.1981591438,39.9590692643
19106,1156,1156,1154,1168,1173,1175,1188,1184,1168,1148,1158,1132,1128,-75.1444302543,39.9502075638
19107,1737,1726,1745,1875,1868,1878,1889,1588,1889,1911,1919,1911,1564,-75.1586211033,39.9519761495
19109,64,63,63,64,60,48,59,60,62,63,58,57,62,-75.1636566174,39.9496613536
19111,670,659,653,666,666,680,703,681,667,664,676,667,682,-75.0785355762,40.0628565065
19112,19,19,31,36,35,40,51,72,66,72,85,86,92,-75.1694923107,39.8898383398
19114,483,461,460,480,503,502,506,510,504,497,493,484,473,-75.0041186329,40.0679448506
19115,585,565,575,586,600,593,592,606,602,608,614,615,603,-75.0439851465,40.0919300378
19116,514,532,505,509,540,563,556,563,570,577,595,617,637,-75.0142332906,40.1164682771
19118,383,387,383,391,394,410,392,363,357,353,363,356,332,-75.2119207628,40.0721741895
19119,289,284,277,283,287,289,303,311,320,328,311,320,325,-75.1920848732,40.052846471
19120,595,603,578,604,609,641,608,602,611,600,584,581,592,-75.120110202,40.033957705
19121,209,206,205,206,229,231,215,227,223,225,235,237,240,-75.1796616971,39.9820804855
19122,204,218,219,228,233,234,222,235,236,236,239,244,251,-75.1461227907,39.9775640172
19123,555,559,562,567,552,574,581,569,590,564,570,588,614,-75.1464609748,39.9636598559
19124,841,807,848,837,841,842,807,829,796,823,831,817,835,-75.0936824912,40.0177098347
19125,420,409,405,402,405,380,386,394,399,392,395,402,422,-75.1245500846,39.9749218048
19126,138,131,133,135,140,136,136,132,141,141,140,144,144,-75.1371657117,40.0551553789
19127,210,208,216,220,232,239,226,215,219,201,200,212,205,-75.2263294477,40.027863919
19128,542,544,551,562,576,566,551,522,524,518,530,539,535,-75.2298100341,40.0491752622
19129,148,141,138,133,142,139,133,143,150,159,168,167,167,-75.1861570624,40.0141139759
19130,405,406,406,434,447,461,467,486,490,489,506,500,510,-75.1747295577,39.9677532554
19131,392,388,389,412,400,410,403,426,418,425,433,449,440,-75.2182502144,39.9887241845
19132,272,264,292,298,296,304,313,304,294,309,322,325,326,-75.1721454882,39.9963948401
19133,290,294,310,297,294,278,272,267,282,267,278,272,270,-75.1416133152,39.9922924762
19134,778,772,773,761,792,783,767,771,759,756,733,744,767,-75.1074291346,39.9893891891
19135,517,521,525,516,511,499,494,489,492,481,487,479,482,-75.0487200843,40.0211121857
19136,522,516,544,527,521,529,530,537,542,536,527,516,548,-75.0190345107,40.0402824299
19137,226,212,228,221,220,221,216,211,217,214,213,201,205,-75.0743029492,39.9954867774
19138,183,187,194,192,196,180,196,190,201,204,216,213,216,-75.1590836293,40.0560018119
19139,387,369,372,353,368,364,362,369,361,359,380,360,380,-75.2295144687,39.9616861145
19140,527,522,538,533,532,533,524,555,550,570,569,581,588,-75.1463791063,40.0121621091
19141,307,303,329,313,299,296,299,309,304,305,301,301,294,-75.1457209966,40.0374359914
19142,278,263,256,259,260,245,234,256,242,235,237,253,246,-75.2341449974,39.9227626616
19143,380,380,387,394,383,390,391,396,400,397,391,425,431,-75.2263034263,39.9430468858
19144,523,522,522,540,543,555,549,538,543,556,545,548,550,-75.1747775485,40.0332300247
19145,563,549,551,557,583,606,620,627,629,621,616,610,605,-75.1919468399,39.914837612
19146,435,434,460,468,457,470,483,484,481,499,513,526,549,-75.1835010321,39.9392629733
19147,879,904,925,930,966,979,985,995,969,986,984,999,1018,-75.1511683638,39.935852313
19148,771,797,812,842,890,900,902,876,861,857,838,847,844,-75.151580714,39.9118547398
19149,593,600,612,609,612,633,597,591,587,570,593,581,584,-75.0660855801,40.0368507948
19150,217,218,218,221,223,225,232,230,234,219,222,219,207,-75.1715537977,40.0724522496
19151,293,268,278,302,310,306,285,275,280,278,276,267,274,-75.2562579633,39.9756111788
19152,501,502,486,490,512,504,513,505,500,491,494,489,488,-75.0472444087,40.0612358513
19153,315,320,358,392,408,412,426,411,420,427,413,415,434,-75.2283619675,39.8934584679
19154,535,534,544,545,550,548,556,568,572,570,579,579,581,-74.9817653645,40.0949539803
